Date,Open,High,Low,Volume,20_SMA,50_SMA,Volatility,RSI,MACD,MACD_Signal,MACD_Diff,Bollinger_High,Bollinger_Low,ATR
2010-03-16,-0.9280611374850654,-0.9277106903923917,-0.9289498667433136,0.9129290151067041,-0.9336306637751676,-0.9321525776260184,-0.6788704782661693,1.1447159014737351,-0.049253093643929706,-0.10160704105271176,0.14870689600807183,-0.9234340784119032,-0.9438755841549862,-0.7917090164584274
2010-03-17,-0.9275182653819337,-0.9266164497431182,-0.9283694981677562,0.9317244447944726,-0.9328143523403346,-0.9319981461747403,-0.6767658993495752,1.08439471681783,-0.05036649233330623,-0.0927566513669633,0.11816404612603283,-0.9225188158209959,-0.9431734988994493,-0.7935592773510621
2010-03-18,-0.928121478978708,-0.9276958023588531,-0.9288735113111974,0.4264315445992365,-0.9319923635529623,-0.9318412708535262,-0.6759918993967818,1.128677945222923,-0.05190330456774823,-0.08600530242110538,0.09262711392305996,-0.9216932183020794,-0.9423568635333855,-0.7967110353583428
2010-03-19,-0.9276011971845076,-0.9275171459563886,-0.9299273365834004,1.4353535725138895,-0.9312135177941788,-0.9316689677238293,-0.6811153298474764,0.6734408299414065,-0.05951926189586063,-0.08223445928939459,0.05636627655102725,-0.9213290516412279,-0.9411056208534864,-0.79669765966874
2010-03-22,-0.930858470071228,-0.9269514006819176,-0.9307520547765432,0.957083976828246,-0.9302927538856635,-0.9314525191214961,-0.6886035122246571,0.9115774180579285,-0.0621702813585244,-0.0797852495484349,0.04028728310635696,-0.921000695367614,-0.939509706373562,-0.7933459885471909
2010-03-23,-0.9269603129388827,-0.9248820236516802,-0.9277357042397767,1.6349022838324383,-0.9291082123766081,-0.9312023127684089,-0.7030960727476331,1.209261706710904,-0.05871722865299033,-0.07708673752544386,0.043320294973774334,-0.9209251542104511,-0.9370604596462422,-0.7923570240155107
2010-03-24,-0.9254522990809122,-0.9238249931476461,-0.9251316873103868,1.6133122363141925,-0.9280216890757285,-0.9309081143091371,-0.7147242016338354,1.2855055055576954,-0.05563672572978424,-0.07426852993197103,0.04477651143032073,-0.920736990391544,-0.9349496365478966,-0.7950501781074928
2010-03-25,-0.9229791837360332,-0.9232518137950131,-0.9260938738292368,1.3556874670115846,-0.927088815570296,-0.9306189563443548,-0.7319809100565641,0.7819409812764551,-0.06022221299512945,-0.07299551170600208,0.025977735699669845,-0.9210946287907089,-0.9325443939370809,-0.7938668917603101
2010-03-26,-0.9244645468831768,-0.9225223200288306,-0.9243374847813278,1.8133678783089675,-0.9260942536580037,-0.9303096347700563,-0.7443318533827674,1.1318950384668585,-0.05704765532083433,-0.07129756623225628,0.03114740111466277,-0.9210442479131156,-0.9304730660492266,-0.7917155614754913
2010-03-29,-0.9214108485183852,-0.9210931085635433,-0.9219931109864379,1.3485384446545496,-0.9252086867077643,-0.929958918325961,-0.7501536501075333,1.240902959844114,-0.053260032078636214,-0.06912844902668913,0.03687967697897321,-0.9206299193381355,-0.9290506713381061,-0.7939464733131812
2010-03-30,-0.9186964678687616,-0.9184058682028422,-0.919984766345198,1.2861729732562694,-0.9241868784550501,-0.9295018871153906,-0.7554735926231723,1.4726512809355279,-0.045159113139041626,-0.06565911063438731,0.05269816952345067,-0.9200520835997297,-0.9275233772396876,-0.792170552847699
2010-03-31,-0.9195333965333382,-0.9190534877231689,-0.9198243883311524,0.8375003301287508,-0.9232154028935523,-0.9291969960368353,-0.7673986756242923,1.315858396290124,-0.04225130367607634,-0.06226120789577693,0.05182908327346766,-0.9199929377944367,-0.9255114753274938,-0.7958570451706578
2010-04-01,-0.9180857241690102,-0.9174754157997087,-0.9211302099793981,1.6382168305616092,-0.9222594435426078,-0.9288267276135284,-0.7810390646751981,1.3842790427388765,-0.03986433533046426,-0.05903194248135856,0.04977744138155897,-0.9200707834774917,-0.9233763413178915,-0.7923295601659988
2010-04-05,-0.9199179351342992,-0.9176391642914202,-0.9195876650806686,2.015919179017471,-0.9215199567528575,-0.9283620584681358,-0.7756360826233234,1.553895262944419,-0.03486294061485555,-0.055377955107286374,0.0549446092609966,-0.9189920564093584,-0.9230253762721253,-0.7931191564210586
2010-04-06,-0.9174900608091783,-0.9163513792061434,-0.9178847421678934,0.9134359457829302,-0.9207456524718796,-0.9277237114014888,-0.7718064267597148,1.6210874844582823,-0.030762489128289033,-0.051577041837994705,0.056732109881530754,-0.9179930140543994,-0.9225088841482199,-0.7947597778156948
2010-04-07,-0.9164721680655694,-0.9151008042661062,-0.9166171135292226,1.7559287332258078,-0.9200803411318251,-0.9271504363743032,-0.7638385595285812,1.6888131259696706,-0.027394983947408563,-0.047815478893328274,0.05625337378412084,-0.9168007032308497,-0.9224464048015464,-0.7962468665123666
2010-04-08,-0.9158011030061406,-0.9153836769033417,-0.9170905600301903,1.498225974588396,-0.9195085060168581,-0.9266309297488251,-0.7579809210166375,1.5443402529407253,-0.028004610595003504,-0.044936722352079336,0.04551315000285276,-0.9158466380217015,-0.9223119345731887,-0.7971922191098562
2010-04-09,-0.915054636247115,-0.9151231263778071,-0.9152425526202843,0.38963357679420707,-0.918892014047367,-0.9261129508734672,-0.7507935304118822,1.6734457517482157,-0.026824094196021425,-0.042381021328021705,0.041582856186477855,-0.9147557950019857,-0.9222380767797449,-0.8009011152014884
2010-04-12,-0.9144740733611676,-0.914244772153452,-0.9142116472320974,0.3842653109151971,-0.9182982294669041,-0.9254561209059866,-0.7442325588826366,1.7079075936070427,-0.026890970551402087,-0.04035077574703962,0.03519016462480603,-0.9137309507209807,-0.9221374535134651,-0.805542890974865
2010-04-13,-0.9147304190058314,-0.9144457506676174,-0.9147462066266563,0.2597813343455162,-0.917594696043115,-0.9246867138445459,-0.7425774054455515,1.7180297113266256,-0.028642773828163676,-0.039101562056895495,0.025688129687776673,-0.9129534634567097,-0.9215194302115993,-0.8091089987104475
2010-04-14,-0.9121517412815169,-0.9122051513130776,-0.912485804435306,0.7140952060238589,-0.9167908726616829,-0.9239082940567255,-0.7378834387956172,1.9375564840970338,-0.025555866598075638,-0.03744142225387405,0.030687457278496214,-0.9118650563048903,-0.9210418071626962,-0.8093533610881949
